Prefix Averages Timing
n        PA1 O(n^2) ms    PA2 O(n) ms
8        0.002            0.001
16       0.002            0.001
32       0.006            0.001
64       0.018            0.002
128      0.066            0.003
256      0.188            0.006
512      0.242            0.008
1024     0.326            0.017
2048     1.152            0.035
4096     4.716            0.071
8192     19.324           0.128
16384    79.138           0.129
32768    305.657          0.095
65536    1231.403         0.111
